loan,income,balance
No,44361.6250742669,729.526495207286
No,12106.1347003149,817.180406555498
No,31767.1389473999,1073.54916401173
No,35704.4939350781,529.250604745278
No,38463.4958787229,785.655882930501
No,7491.55857182746,919.5885304745
No,24905.2265775235,825.513330517201
No,17600.4513435869,808.667504297266
No,37468.5292875375,1161.05785403132
No,29275.2682931678,0
No,21871.0730892776,0
No,13268.5622209261,1220.58375300377
No,28251.6953449631,237.045113977472
No,44994.5558492173,606.742343302464
No,23810.174050036,1112.96840063305
No,45042.4130358855,286.232560139224
No,50265.3123535985,0
No,17636.5396172936,527.540184074571
No,61566.106117801,485.936864171729
No,26464.631389229,1095.0727352874
No,50500.1821977441,228.952549642572
No,32457.5090750754,954.261792773545
No,51317.8830823874,1055.95660472904
No,30466.1032574814,641.984388848021
No,34353.3143050038,773.211724534176
No,25211.3321614539,855.008522525692
No,41473.5118010187,642.999738515429
No,32189.0949523178,1454.86327248404
No,39376.3946187014,615.704276560405
No,16556.0702053511,1119.56935332865
No,54384.7828361386,494.816228807326
No,15799.4704097956,448.880656256039
No,22429.9350462168,584.90489468245
No,46907.2254028623,913.587172608928
No,22634.4880875812,1423.93891664088
No,13190.6527164103,1499.72465655973
No,47806.6117728963,692.034167065432
No,35087.4886480858,351.45347152301
No,37864.8239388952,742.627620785597
No,39489.5947028613,653.118400123388
No,41787.5672689012,872.138679538477
No,51471.7720946377,837.262622754171
No,42917.4695636282,1151.63056608265
No,16872.9475557814,220.55560838644
No,19052.5722246955,1690.23441038701
No,54206.9392120179,408.772914305185
No,50066.6805336538,1238.61032124112
No,37408.5038685076,1228.30835035336
No,47746.5420731016,820.919204146184
No,31688.3459738919,857.4851177765
No,42641.253266646,563.618177182362
No,13120.6364696027,1282.97253359578
No,26557.1414458808,1505.78267482884
No,16882.3006056535,904.040259066813
No,49956.580571906,0
No,10464.3207319231,1294.4973466731
No,15887.4684867774,1275.55063272364
No,48766.9074575615,1536.59460097252
No,39143.1370690178,1332.52264386695
No,33379.0946028395,492.079767815411
No,46478.2942569524,766.234379303894
No,63432.9842544674,690.127246199993
No,32481.5400461151,0
No,36866.1570686848,1480.65530926266
No,45344.2513202648,989.055596975304
No,33695.4262332636,1302.34183516856
No,54696.7659816226,1044.55234328472
No,43658.2277239957,0
No,38363.4216347118,866.02843636799
No,48140.471335995,690.800792354134
No,31577.6151255677,597.757142017061
No,51311.218101023,429.485402306276
No,39644.9421931896,1398.15620148326
No,19886.4939515168,1578.06409853994
No,26655.6889653755,857.069053134242
No,16211.2757881826,752.459945958806
No,15193.733135525,774.738426963927
No,45131.718264691,728.373251302587
No,28392.0934122846,76.9912905299071
No,41346.78591324,196.456913136183
No,14297.6190485513,948.747918388616
No,39369.8815631008,431.920885304176
No,46221.2114948234,461.63818223378
No,33046.3129575033,572.015760230599
No,51258.4442299621,335.568144733179
No,60397.7186486948,510.23759315638
No,24038.6520433118,1005.16130555577
No,13241.7520600759,162.454451086564
No,50537.4656484602,932.533155682331
No,11905.6817925484,893.330467612275
No,44495.1627629054,1332.78256352571
No,35043.1060286742,1404.38306945215
No,16578.1921184729,1148.96513915926
No,57596.8258431935,368.223425720545
No,45950.6667238686,449.466628769273
No,51584.6573183834,820.017112578423
No,15750.6220834222,619.751868575593
No,46416.9709942419,1047.71812400961
No,47193.8881309706,243.84132832576
No,45430.5502710943,186.500386931495
No,38224.0315214972,1422.01848757576
No,61425.286388114,383.798659005674
No,45802.1049386909,1159.43509608859
No,17181.7379663818,882.99191255185
No,65457.8541875824,1463.23289161086
No,19311.4229408044,1722.35584628315
No,14558.9121383835,773.921861257735
No,32816.2847956415,958.169418468988
No,68037.5751261777,1207.53273014951
No,30546.6010343774,1056.6108304963
No,46550.2672705963,117.642483931776
No,58088.3604512649,596.964119237004
No,47729.6257581971,0
No,16335.7034406021,541.662755324457
No,45020.0191217013,1119.17830341806
No,20498.66581411,810.320936469835
No,32850.1201448079,271.55143774701
No,47714.0221084582,1114.40323650428
No,33540.9799848111,867.030828053565
No,17632.712103849,1176.7894016772
No,42465.3629640684,610.227818661398
No,55449.3386406402,272.615661715535
No,49643.4264416677,449.735085836859
No,10673.5262253922,827.767209400324
No,33925.2195976742,430.000099449901
No,31825.7649719215,0
No,18404.594189222,1557.34463668228
No,33722.1589415677,928.236966261476
No,49101.7982141897,1373.45016328929
No,18601.5332374944,951.072907499984
No,23065.850975377,1292.21086850542
No,24760.7957330564,582.188700706555
No,19307.98029025,339.424638280913
No,44641.090118396,409.982324608766
No,53639.8468273843,1216.45150955433
No,44124.2681146436,598.461392123585
Yes,17854.3970280731,1486.99812160021
No,59976.8398676444,943.796338713762
No,49525.7450208494,0
No,20883.2407676238,996.276086766592
No,11248.6707527348,748.301340361255
No,15411.5185672943,324.737921782032
No,16005.6813190057,575.382158489508
No,36012.2358964554,441.738284926253
No,39526.5612652646,1188.64217955294
No,51371.1999147598,95.1476801904055
No,43218.794375243,1015.61483748402
No,44931.6749177461,1258.56739272567
